Year,allmusic_genre,lyric_novelty_change_mean,MIR_novelty_change_mean,lyric_novelty_change_median,MIR_novelty_change_median,lyric_novelty_change_std_dev,MIR_novelty_change_std_dev
1974,Country,0.21055620326341287,0.07531118126815069,0.20170147066896232,0.07664780180656175,0.09864793157675812,0.20849171151744686
1974,Pop,0.6340859071925466,0.3737676703292005,0.6623300399413329,0.2836534189354239,0.3559380421762295,0.4388277280367019
1974,R&B,0.14429470588653043,-0.009113055626390386,0.1498418149467511,-0.017322733553451042,0.1120061032098571,0.15592228353923357
1974,Rock,0.014485490338405087,0.06583814483496966,0.01829120801095233,0.0458348672057709,0.07995509517463169,0.1885619356510769
1975,Country,-0.1047679971060985,-0.09338640184546096,-0.11596488064145569,-0.08350370589008083,0.14092186620456065,0.14348189317880575
1975,Pop,0.8940013558336354,1.3257010845915362,0.8802307125165072,1.1293453965918605,0.8650832651097943,1.133758255533273
1975,R&B,-0.3668668658039323,0.06761310048568675,-0.3668535397453474,0.01935528463933489,0.059932304536329487,0.254257829068827
1975,Rock,0.06812487011190527,-0.007510409221096414,0.07456044602558798,-0.006762702594380028,0.052068316353015086,0.0843921163642479
1976,Country,0.4187033842784669,0.4804027528543504,0.43367363574764417,0.3936407186622585,0.20483770616461708,0.38046390588722206
1976,Electronica,0.6506745637918943,0.654075337789053,0.6506745637918943,0.654075337789053,0.6528518927352114,0.9414111624923013
1976,Pop,0.6131594095030086,0.1245971115193923,0.453568931206483,0.10820047978066884,0.6891153657082635,0.4080160583213168
1976,R&B,-0.13648033054341493,0.11657053814947119,-0.14534341822865232,0.15959302322255509,0.07423248974741978,0.27458174629906873
1976,Rock,-0.05081655834255614,0.09039062389383824,-0.053237795030341095,0.09244128149191677,0.10374129071940216,0.09254600744042696
1977,Country,-0.09519666871410522,0.030240413434835713,-0.10697720995442317,0.08726252439836713,0.1703918945368587,0.16116107499210622
1977,Pop,0.11742513310366237,1.3259482900845225,0.18051677509055064,1.1485861366378771,0.40405113809809545,1.148435346447832
1977,R&B,-0.1691435893680702,0.21869380665591684,-0.1924758648247232,0.1986585441312489,0.15170485447334253,0.170836371801916
1977,Rock,-0.11623522134657896,0.04076634340253137,-0.12776217995586556,0.04424604263480025,0.14156856506454923,0.06919674642055487
1978,Country,0.10954811180142279,0.01538709000491195,0.11959321871286754,0.04162819989499061,0.11881613906680477,0.23403492333442702
1978,Electronica,6.037155890905985,0.250496847424858,3.9106556902115344,-0.07055929534058045,3.248724322716174,1.2112768248153816
1978,Pop,0.7217556561264111,0.09472550894933901,0.7491490224036299,0.001307705259145503,0.26973162582675614,0.4884758387144443
1978,R&B,0.11300101997243825,0.08893002978720713,0.06753223141437502,0.10335849459517277,0.18095415822026276,0.13885478228457476
1978,Rock,0.06869097643864339,0.06369482581657832,0.05237111514890569,0.06048384076711569,0.09137196575021439,0.07077805924406412
1979,Country,0.6238933178757408,0.1680484226252966,0.6567244613129046,0.16444297038222278,0.44098488267400776,0.2102553258887882
1979,Electronica,3.0811226227974373,0.6444968984370917,3.292496734120631,0.7314409797902696,0.6503560675780456,0.5743111537770481
1979,Pop,1.0502558667686819,-0.07599458450414497,1.0415882508656078,0.01107166384553082,0.2810142746767877,0.28325498454149983
1979,R&B,0.394330231990922,0.10050134800564245,0.3836851163904563,-0.04400463354437917,0.11082878479030775,0.5143459273330137
1979,Rock,0.19920964805210636,0.03743434171071603,0.17347086543763768,0.02097487265614925,0.175602563942042,0.12069244191750123
1980,Country,0.08115851206019103,0.21056499605908913,0.07868848440940779,0.19074880840197217,0.199494786152254,0.21752098823436455
1980,Electronica,1.5992539316968277,0.8206348390023075,1.816559301120162,0.9327616065960272,0.6797051019340773,0.9944036441690577
1980,Pop,1.0102637738597346,0.5040351310808752,1.0200115480176013,0.18147938081619516,0.2412149375639178,1.0121405297712665
1980,R&B,0.06896238394167534,0.3946692008591727,0.08212435769077275,0.29387378603987224,0.10499630425461609,0.4786782807074818
1980,Rock,-0.06001044878993801,0.02933878165358204,-0.04953393118118061,0.025428571788773793,0.1297000404018336,0.05508013696957685
1981,Country,0.1843399973189065,0.5542339691251215,0.19549336549361335,0.5330600707411259,0.1574783240053633,0.595537025380268
1981,Pop,0.4104409559307453,0.2772100948910009,0.40049030612957015,0.25232470778687754,0.16353942487552037,0.43304298979288647
1981,R&B,0.14514561282790334,-0.0037628032603619524,0.1633500975341033,-0.016527602607976366,0.21412592455922771,0.2094450372759822
1981,Rock,-0.16004150585374122,0.060524518118227226,-0.1622626496005044,0.055577733397391804,0.042763732623476367,0.11060730810726492
1982,Country,0.22130365330718896,0.16975238744299628,0.22088248605089034,0.1933620862345558,0.24159679770527692,0.2433174375571346
1982,Electronica,1.8831264397905354,1.6983486526614031,1.9058453827700976,1.3111968027935743,0.2095466113063707,0.9349552637541226
1982,Pop,0.3634369522445406,0.2558431508777568,0.4062916592665359,0.2022419605000353,0.3580368194998311,0.5986770692455838
1982,R&B,-0.026596300174955016,0.19352439357098178,-0.029437531072260964,0.18257255700206895,0.3298374161395672,0.18804938697309453
1982,Rock,-0.09148397529235634,0.20436266396368352,-0.0907819674758017,0.15197987445033567,0.04505222197201812,0.299413627319918
1983,Country,0.8984887990813485,0.050835522043956596,0.9188915856728083,0.06612295553630493,0.1879587870310523,0.18548604146091344
1983,Electronica,2.1658760251827984,2.8916867828066652,2.1727115202700604,3.2573474231218027,0.2614137416089388,1.3107519395165832
1983,Pop,-0.8008276962983358,1.5346447288038536,-0.7595860653947883,1.221044701509805,0.25357088818306117,1.6859494119034673
1983,R&B,-0.04847765389169396,0.17756952114492444,-0.06107359632628129,0.1800383032426751,0.07756031727460468,0.25917337506577515
1983,Rock,-0.06870120889530111,0.11024825230190487,-0.0782212120625385,0.0950193996973008,0.07113778976194449,0.13721020587864152
1984,Country,0.6371494072432452,-0.04886557659697873,0.6421751922989785,0.17165593638710566,0.46546790998572674,0.7679779229770382
1984,Electronica,2.277102039229522,3.154074426920956,2.29971432953595,3.0510288232951623,0.6598028648272936,1.3696481125310689
1984,Pop,0.4789755034208687,1.4076690771430367,0.5303814171810011,1.1506097347009396,0.675843124424339,0.9446904275348165
1984,R&B,0.07622348743266598,0.18376311633283612,0.08646226578797465,0.2012019137886007,0.08882753308674449,0.20033732671779095
